,AccX,AccY,AccZ,GyrX,GyrY,GyrZ
311,10.0947,0.3787,0.0486,0.001,0.0064,0.0
312,10.0589,0.4148,0.0616,-0.0032,0.0043,-0.001
313,10.095,0.3552,0.0366,-0.0042,0.0,0.0
314,10.0708,0.4026,0.061,-0.0001,0.0011,0.0
315,10.0958,0.3909,0.0616,-0.0085,-0.0011,0.002
316,10.0833,0.3668,0.0372,-0.0032,0.0022,0.0021
317,10.0833,0.3787,0.0726,-0.0021,0.0042,0.0001
318,10.0711,0.3549,0.0607,-0.0021,0.0,0.0021
319,10.0714,0.39,0.061,0.001,0.0064,0.0021
320,10.0711,0.3787,0.0736,0.001,0.0033,0.0021
321,10.0833,0.391,0.0614,-0.0031,0.0021,0.001
322,10.0714,0.3897,0.061,0.0032,0.0032,0.001
323,10.0711,0.3431,0.0732,0.0031,0.0031,0.001
324,10.0596,0.3666,0.097,0.0053,0.0011,0.0021
325,10.0714,0.4028,0.0973,-0.001,-0.0074,0.0042
326,10.0837,0.3418,0.0614,0.0042,-0.0075,0.0011
327,10.0952,0.3655,0.0851,0.001,-0.0032,0.0
328,10.0708,0.3774,0.0855,0.0,-0.0053,-0.0001
329,10.083,0.3659,0.0732,0.0,-0.0043,-0.001
330,10.0711,0.3547,0.0614,-0.0032,-0.0064,0.0001
331,10.1066,0.3784,0.0488,-0.0052,-0.0074,0.0021
332,10.0707,0.3655,0.0607,-0.0032,-0.0085,0.001
333,10.0833,0.33,0.0481,-0.0053,-0.0086,-0.0
334,10.0715,0.3418,0.0721,0.0032,0.0,0.001
335,10.0948,0.3544,0.0721,0.0,-0.0074,0.0
336,10.0711,0.3655,0.0126,-0.0001,-0.0074,-0.0022
337,10.0707,0.3422,0.0599,-0.0021,-0.0043,-0.001
338,10.0715,0.3426,0.0725,-0.0032,-0.0095,0.0
339,10.0955,0.3418,0.0248,-0.0065,-0.0129,-0.001
340,10.0829,0.3654,0.024,-0.0043,-0.0054,0.001
341,10.1195,0.33,0.0122,-0.0043,-0.0053,-0.0052
342,10.0951,0.3536,0.024,-0.001,-0.0031,-0.0053
343,10.0711,0.3662,0.0358,-0.0074,-0.0042,-0.0064
344,10.0837,0.3418,0.0244,-0.0096,-0.0022,-0.0074
345,10.0715,0.3418,0.0358,-0.0075,-0.0064,-0.0022
346,10.0724,0.3427,0.0118,-0.0042,-0.0075,-0.0011
347,10.0707,0.378,0.0248,0.001,-0.0064,-0.0011
348,10.0833,0.3309,0.024,-0.0,-0.0053,-0.0
349,10.0833,0.3414,0.0,0.0,-0.0043,-0.0032
350,10.0716,0.3549,0.0009,-0.0011,-0.0063,-0.0021
351,10.0602,0.3653,0.0118,0.0001,-0.0032,-0.0013
352,10.0833,0.3427,0.0014,-0.0032,-0.0051,-0.0032
353,10.0716,0.3662,0.0122,0.0,-0.0011,-0.0064
354,10.0829,0.354,0.0127,-0.0042,-0.0053,0.0
355,10.0828,0.3418,0.0014,-0.0022,-0.0086,-0.0023
356,10.0828,0.3658,0.0,0.0011,0.001,-0.0021
357,10.0838,0.355,0.0249,0.0,-0.0031,-0.0064
358,10.0824,0.3413,0.0117,0.0042,-0.0032,-0.0054
359,10.0833,0.3662,-0.0005,0.0,-0.0043,-0.0033
360,10.1068,0.354,0.0122,-0.0021,-0.0075,-0.0032
361,10.1063,0.3423,-0.0347,0.0,-0.0042,-0.0074
362,10.0828,0.3657,-0.0122,0.0021,0.0,-0.0054
363,10.095,0.354,0.0117,0.0053,-0.0051,-0.0065
364,10.0823,0.3784,-0.0117,-0.001,-0.0043,-0.0062
365,10.0828,0.3662,-0.0234,-0.0041,-0.0012,-0.0074
366,10.096,0.3423,0.0,-0.0021,-0.0011,-0.0053
367,10.0955,0.3662,0.0234,0.0,-0.0074,-0.0011
368,10.0711,0.3667,-0.0239,-0.0011,-0.0076,-0.0053
369,10.0935,0.3677,-0.0356,-0.0012,-0.0085,-0.0032
370,10.0955,0.3662,-0.0117,-0.0,-0.0013,-0.001
371,10.0721,0.3784,-0.0127,0.0,0.0,-0.0021
372,10.0721,0.3789,0.0,0.0022,0.0,-0.0021
373,10.0716,0.3662,-0.0005,-0.0022,0.0011,-0.0011
374,10.095,0.3423,-0.0361,0.0021,0.0031,-0.0002
375,10.0844,0.3418,0.0096,0.0001,0.0042,-0.0011
376,10.0833,0.3652,-0.0122,-0.0011,0.0043,0.0
377,10.0833,0.3657,-0.0011,0.001,0.0043,-0.001
378,10.0844,0.3296,-0.0239,0.0042,0.0084,-0.0021
379,10.1072,0.3413,-0.0366,0.0211,0.0265,-0.0096
380,10.1077,0.3063,0.0,0.0414,0.049,-0.0192
